Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
2019-09-29 11:17:52,"13736696","0","0","0","1","0","0","0","100","0","0","0","7958128","876200","848152","28048","0","0","0","0","5","7","0","24","65536","19375","578880","221028","82112","14157","964800","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:17:53,"13736836","0","0","0","1","0","0","0","100","0","0","0","7958128","876200","848152","28048","0","0","0","0","5","7","0","24","65536","19375","578880","221028","82112","14157","964800","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:17:54,"13736716","0","0","0","1","0","0","0","100","0","0","0","7958128","876200","848152","28048","0","0","0","0","5","7","0","24","65536","19375","578880","221028","82112","14157","964800","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:17:55,"13736716","0","0","0","1","0","0","0","100","0","0","0","7958128","876200","848152","28048","0","0","0","0","5","8","0","24","65536","19375","578880","221028","82112","14157","964800","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:17:56,"13736716","0","0","0","1","0","0","0","100","0","0","0","7958128","876200","848152","28048","0","0","0","0","5","7","0","24","65536","19375","578880","221028","82112","14157","964800","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:17:57,"13736716","0","0","0","1","0","0","0","100","0","0","0","7958128","876200","848152","28048","0","0","0","0","5","7","0","24","65536","19375","578880","221028","82112","14157","964800","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:17:58,"13736716","0","0","0","1","0","0","0","100","0","0","0","7958128","876200","848152","28048","0","0","0","0","5","7","0","24","65536","19375","578880","221028","82112","14157","964800","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:17:59,"13761940","0","0","0","1","0","2","0","97","0","0","0","7958128","850796","822748","28048","0","0","2","0","5","8","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","8000",
2019-09-29 11:18:00,"13761940","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:01,"13762140","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:02,"13762140","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:03,"13762140","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:04,"13762140","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:05,"13762140","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:06,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:07,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:08,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:09,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:10,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:11,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:12,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:13,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:14,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:15,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:16,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:17,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:18,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:19,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:20,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:21,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:22,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:23,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:24,"13762276","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:25,"13762280","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:26,"13762280","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:27,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:28,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:29,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:30,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:31,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:32,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:33,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:34,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:35,"13762284","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:36,"13762408","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:37,"13762408","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:38,"13762408","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:39,"13762408","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:40,"13762376","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:41,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:42,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:43,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:44,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:45,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:46,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:47,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:48,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:49,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:50,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:51,"13762272","0","0","0","2","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:18:52,"13762272","0","0","0","1","0","0","0","100","0","0","0","7958128","850796","822748","28048","0","0","0","0","5","7","0","24","40960","11641","578880","120154","82112","8095","964800","7872","0","9","1","0","23588","8211","208","10989","0","0",
