Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
2019-09-29 11:20:28,"13910556","0","0","0","1","0","0","0","100","0","0","0","8024692","700260","672364","27896","0","0","0","0","5","7","0","24","65536","19376","418848","207781","82096","14159","964784","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:20:29,"13910556","0","0","0","1","0","0","0","100","0","0","0","8024692","700260","672364","27896","0","0","0","0","5","7","0","24","65536","19376","418848","207781","82096","14159","964784","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:20:30,"13910556","0","0","0","1","0","0","0","100","0","0","0","8024692","700260","672364","27896","0","0","0","0","5","7","0","24","65536","19376","418848","207781","82096","14159","964784","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:20:31,"13910556","0","0","0","1","0","0","0","100","0","0","0","8024692","700260","672364","27896","0","0","0","0","5","8","0","24","65536","19376","418848","207782","82096","14159","964784","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:20:32,"13910556","0","0","0","1","0","0","0","100","0","0","0","8024692","700260","672364","27896","0","0","0","0","5","7","0","24","65536","19376","418848","207782","82096","14159","964784","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:20:33,"13910560","0","0","0","1","0","0","0","100","0","0","0","8024692","700260","672364","27896","0","0","0","0","5","7","0","24","65536","19376","418848","207782","82096","14159","964784","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:20:34,"13910560","0","0","0","1","0","0","0","100","0","0","0","8024692","700260","672364","27896","0","0","0","0","5","7","0","24","65536","19376","418848","207782","82096","14159","964784","7872","0","9","1","0","23588","16211","208","18989","0","0",
2019-09-29 11:20:35,"14031720","0","0","0","3","0","2","0","106","0","0","0","8024692","578832","550936","27896","0","0","2","0","5","8","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","8000",
2019-09-29 11:20:36,"14031720","0","0","0","2","0","1","0","91","7","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:37,"14031584","0","0","0","1","0","1","0","99","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:38,"14031584","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:39,"14031584","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:40,"14031584","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:41,"14031584","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:42,"14031584","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:43,"14031592","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:44,"14031592","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:45,"14031592","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:46,"14031592","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:47,"14031592","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:48,"14031592","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:49,"14031592","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:50,"14031592","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:51,"13989708","0","0","0","2","0","4","1","96","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:52,"13995484","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:53,"13995484","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:54,"13995484","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:55,"13995484","0","0","0","1","0","0","0","99","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:56,"13995148","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:57,"13994788","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:58,"13994792","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:20:59,"14005292","0","0","0","1","0","1","0","99","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:21:00,"14007500","0","0","0","1","0","1","0","99","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:21:01,"14007504","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:21:02,"14007380","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:21:03,"14007380","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:21:04,"14007380","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
2019-09-29 11:21:05,"14007380","0","0","0","1","0","0","0","100","0","0","0","8024692","578832","550936","27896","0","0","0","0","5","7","0","24","40960","11646","322848","113532","82096","8096","964784","7872","0","9","1","0","23588","8211","208","10989","0","0",
